prefix	lane_number	seq_id	sample_id	population	data_type
11665X131	lane9	1	JekyllIs_1068	JekyllIs	pe
11665X134	lane9	2	JekyllIs_1072	JekyllIs	pe
11665X135	lane9	3	JekyllIs_1073	JekyllIs	pe
11665X136	lane9	4	JekyllIs_1074	JekyllIs	pe
11665X50	lane1	5	JekyllIs_1034	JekyllIs	pe
